player_id,level
P1100,ACT
P1101,ACT
P1102,ACT
P1103,ACT
P1104,ACT
P1105,ACT
P1106,ACT
P1107,ACT
P1108,ACT
P1109,ACT
P1110,ACT
P1111,ACT
P1112,ACT
P1113,ACT
P1114,ACT
P1115,ACT
P1116,ACT
P1117,ACT
P1118,ACT
P1119,ACT
P1120,ACT
P1121,ACT
P1122,ACT
P1123,ACT
P1124,ACT
P1125,AAA
P1126,AAA
P1127,AAA
P1128,AAA
P1129,AAA
P1130,AAA
P1131,AAA
P1132,AAA
P1133,AAA
P1134,AAA
P1135,AAA
P1136,AAA
P1137,AAA
P1138,AAA
P1139,AAA
P1140,LOW
P1141,LOW
P1142,LOW
P1143,LOW
P1144,LOW
P1145,LOW
P1146,LOW
P1147,LOW
P1148,LOW
P1149,LOW
